id,text,aspect,predicted
444,"incredible app for organize basically your life, please implement reminders with some kind of alarm or notifications.",notifications.,-1
445,takes ages to load.,Takes,0
446,"today ,i installed the notion app",app,0
447,do not ever actually open the app or try to read or write anything with it.,app,0
448,notion is a great site and an iphone app.,iPhone app.,1
449,"It does its function, but it would be good for them to add a dark mode",dark mode,1
450,"ok, so add the first clip on scene 1.",scene,1
451,till a week back the service is excellent but now late delivery,service,1
452,the web version works great on desktop but this app is unusable.,app,1
453,its a good app with many features,features,1
454,"but I would like to adjust it, resize, remove background etc.",remove,1
455,"is there any way to exceed the limit to 20,0 blocks and duplicate the project?",project?,-1
456,There are no functions to merge one task or move it as a subtask of another.,task,-1
457,"great, please implement widget in next update",widget,1
458,the problem I am having is that this is a default table view where all the columns are in alphabetical order and regular width.,columns,-1
459,Desktop is better...,Desktop,0
460,i mean delete account: @gmail.com,delete,0
461,Love the free version to manage day-to-day operations and multiple projects.,free,1
462,"i want to unsubscribe from my business plan, but i do not know how to","business plan,",0
463,"I have good internet and still tells me that it is not possible to connect with Asana, it does not save the things that I put.",connect,0
464,"as of the moment, the ""turn into"" functionality is not possible on mobile yet, however on the desktop app or web, you will find this option by selecting your list of items then click the block handle or the "":"" and select ""turn into"" then ""to do list",list,-1
465,"this is a fantastic app, and has enabled me to move my writing almost exclusively to it.","app,",1
466,is it best practice to work with small scenes (say 20 seconds each instead of a longer 60 second scene?,scenes,1
467,"The UI is horrible, impossible to manage what is seen, make personal boards, etc",personal,-1
468,And how to change the language in the application?,language,0
469,Just started using Asana.,Just started,0
470,"@notionhq i want to request you to please fix up the bug - ""while copy pasting or while importing any web page/docu.",web,1
471,Honestly just not a great app compared to the desktop version.,desktop version,-1
472,be more consistent in delivering.,delivering.,0
473,hi kate // how do we downgrade our account to the free version?,free,1
474,"providing all essential items at the door step, especially during lockdown period, is excellent concept put in practice",essential items,1
475,the tables/databases are a lifesaver to me.,tables/databases,1
476,but i would like to keep my android system in dark mode.,dark mode.,1
477,"attaching as text file: regards, viraj patel  ",text,0
478,the idea is to split up this database.,database,0
479,can something like this be done in notion too - especially the subscription to multimple google calendars in one overlaid by tasks?,subscription,1
480,notion is a great site and an iphone app.,Notion,1
481,i helped co-found a company on notion which was a difficult task but manageable.,task,-1
482,"app with great funtions and posibilities, but slow as hell (update",App,-1
483,i use onenote from my office subscription,subscription,0
484,"i mean, the lower text under the overlay should be covered by the overlay",text,-1
485,"takes forever to load on note 8, seeing the logo hoping it will just load","note 8,",1
486,asked for a workspace name or billing email address on file what caused you to escalate the ticket?,billing,0
487,"regular delivery.payment via food card should be added.also they should add more milk items like rabdi, mozerella cheese etc.","rabdi, mozerella",1
488,"great app, but can sometimes take too long to load (5s +).",load,1
489,"i also see you have been with us for a while, why not take up an unlimited lifetime plan at a discounted price, where you pay once and get unlimited access for life :)",plan,1
490,"in the meantime, would you mind resetting your notion app for me?",resetting,0
491,free @notionhq template: employee directory,Free,1
492,"@notionhq I am finally addicted to you moved all my spreadsheets and doc, & organised everything.",organised,0
493,"There’s no capability for simple things like editing functions (i.e. doing *any* calculations), Kanban views, or pivot tables. 

",calculations,0
494,I entered the email to sign up and immediately error message that the data can't be read?,email,-1
495,"every time i try to edit a page or create a link, the tools or keyboard flash up for half a second and close back down.",tools,1
496,unable to load money using wallets (phonepe/ola money /freecharge/payzapp).,Unable to load money using wallets,0
497,"hi, i m doing for the first time ever and i not able to understand the usage of all the tabs on this app",usage,0
498,delivery is delayed or cancelled every time i order something.,Delivery,-1
499,your customer service is terrible!,customer service,-1
